,city,country,plan_name,plan_type,start year
210,"City of Johannesburg Metropolitan Municipality, South Africa",South Africa,"City of Johannesburg Metropolitan Municipality, South Africa",Climate mitigation plan,2009
211,"Ekurhuleni Metropolitan Municipality, South Africa",South Africa,"Ekurhuleni Metropolitan Municipality, South Africa",Climate mitigation plan,2013
212,"Ekurhuleni Metropolitan Municipality, South Africa",South Africa,"Ekurhuleni Metropolitan Municipality, South Africa",Climate mitigation plan,2013
213,"KwaDukuza Local Municipality, South Africa",South Africa,"KwaDukuza Local Municipality, South Africa",Climate mitigation plan,2013
214,"KwaDukuza Local Municipality, South Africa",South Africa,"KwaDukuza Local Municipality, South Africa",,2016
215,"KwaDukuza Local Municipality, South Africa",South Africa,"KwaDukuza Local Municipality, South Africa",,2013
216,"KwaDukuza Local Municipality, South Africa",South Africa,"KwaDukuza Local Municipality, South Africa",Integrated climate plan,2013
217,"Msunduzi Local Municipality, South Africa",South Africa,"Msunduzi Local Municipality, South Africa",Climate adaptation /resilience plan,2017
218,"Msunduzi Local Municipality, South Africa",South Africa,"Msunduzi Local Municipality, South Africa",Climate mitigation plan,2015
219,"Msunduzi Local Municipality, South Africa",South Africa,"Msunduzi Local Municipality, South Africa",Integrated climate plan,2010
220,"Msunduzi Local Municipality, South Africa",South Africa,"Msunduzi Local Municipality, South Africa",Climate adaptation /resilience plan,
221,"Nelson Mandela Bay Metropolitan Municipality, South Africa",South Africa,"Nelson Mandela Bay Metropolitan Municipality, South Africa",Climate adaptation /resilience plan,2017
222,"eThekwini Metropolitan Municipality, South Africa",South Africa,"eThekwini Metropolitan Municipality, South Africa",Climate mitigation plan,2014
223,"eThekwini Metropolitan Municipality, South Africa",South Africa,"eThekwini Metropolitan Municipality, South Africa",Integrated climate plan,2015
224,"eThekwini Metropolitan Municipality, South Africa",South Africa,"eThekwini Metropolitan Municipality, South Africa",Climate adaptation /resilience plan,2019
225,"Municipality of Amurrio, Spain",Spain,"Municipality of Amurrio, Spain",Climate adaptation /resilience plan,2019
226,"Municipality of Amurrio, Spain",Spain,"Municipality of Amurrio, Spain",Climate mitigation plan,2014
227,"Municipality of Areatza, Spain",Spain,"Municipality of Areatza, Spain",Climate adaptation /resilience plan,2019
228,"Municipality of Areatza, Spain",Spain,"Municipality of Areatza, Spain",Climate mitigation plan,2019
229,"Municipality of Balmaseda, Spain",Spain,"Municipality of Balmaseda, Spain",Climate mitigation plan,2013
230,"Municipality of Bilbao, Spain",Spain,"Municipality of Bilbao, Spain",Climate adaptation /resilience plan,
231,"Municipality of Bilbao, Spain",Spain,"Municipality of Bilbao, Spain",Climate mitigation plan,2019
232,"Municipality of Durango, Spain",Spain,"Municipality of Durango, Spain",Integrated climate plan,2013
233,"Municipality of Errenteria, Spain",Spain,"Municipality of Errenteria, Spain",Climate adaptation /resilience plan,2014
234,"Municipality of Errenteria, Spain",Spain,"Municipality of Errenteria, Spain",Climate mitigation plan,2019
235,"Municipality of Legazpi, Spain",Spain,"Municipality of Legazpi, Spain",Climate adaptation /resilience plan,2019
236,"Municipality of Legazpi, Spain",Spain,"Municipality of Legazpi, Spain",Climate mitigation plan,2019
237,"Municipality of Madrid, Spain",Spain,"Municipality of Madrid, Spain",Climate mitigation plan,2014
238,"Municipality of Tolosa, Spain",Spain,"Municipality of Tolosa, Spain",Climate adaptation /resilience plan,2013
239,"Municipality of Tolosa, Spain",Spain,"Municipality of Tolosa, Spain",Climate mitigation plan,2019
240,"Municipality of Vitoria-Gasteiz, Spain",Spain,"Municipality of Vitoria-Gasteiz, Spain",Climate mitigation plan,2019
241,"Municipality of Vitoria-Gasteiz, Spain",Spain,"Municipality of Vitoria-Gasteiz, Spain",Climate adaptation /resilience plan,2019
242,"City of Malmö, Sweden",Sweden,"City of Malmö, Sweden",Climate adaptation /resilience plan,2017
243,"City of Malmö, Sweden",Sweden,"City of Malmö, Sweden",Climate mitigation plan,2016
244,"City of Malmö, Sweden",Sweden,"City of Malmö, Sweden",Climate mitigation plan,2015
245,"City of Stockholm, Sweden",Sweden,"City of Stockholm, Sweden",Climate mitigation plan,2016
246,"City of Stockholm, Sweden",Sweden,"City of Stockholm, Sweden",Climate adaptation /resilience plan,2016
247,"City of Stockholm, Sweden",Sweden,"City of Stockholm, Sweden",Climate mitigation plan,2016
248,"Kristianstad Municipality, Sweden",Sweden,"Kristianstad Municipality, Sweden",Climate adaptation /resilience plan,2017
249,"Kristianstad Municipality, Sweden",Sweden,"Kristianstad Municipality, Sweden",Climate mitigation plan,2017
250,"Lund Municipality, Sweden",Sweden,"Lund Municipality, Sweden",Climate mitigation plan,2016
251,"Lund Municipality, Sweden",Sweden,"Lund Municipality, Sweden",Climate mitigation plan,2014
252,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2008
253,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2009
254,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",Integrated climate plan,2012
255,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2015
256,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2010
257,"Uppsala Municipality, Sweden",Sweden,"Uppsala Municipality, Sweden",Climate mitigation plan,2014
258,"Uppsala Municipality, Sweden",Sweden,"Uppsala Municipality, Sweden",Integrated climate plan,2016
259,"Uppsala Municipality, Sweden",Sweden,"Uppsala Municipality, Sweden",Integrated climate plan,2017
260,"Växjö Municipality, Sweden",Sweden,"Växjö Municipality, Sweden",Climate mitigation plan,2019
261,"Växjö Municipality, Sweden",Sweden,"Växjö Municipality, Sweden",Climate adaptation /resilience plan,2013
262,"Vårgårda Municipality, Sweden",Sweden,"Vårgårda Municipality, Sweden",Climate mitigation plan,2017
263,"Vårgårda Municipality, Sweden",Sweden,"Vårgårda Municipality, Sweden",Integrated climate plan,2015
264,"Örebro Municipality, Sweden",Sweden,"Örebro Municipality, Sweden",Climate mitigation plan,2016
265,"Örebro Municipality, Sweden",Sweden,"Örebro Municipality, Sweden",Integrated climate plan,2014
266,"Dar Es Salaam City Council, Tanzania",Tanzania,"Dar Es Salaam City Council, Tanzania",Integrated climate plan,2011
267,"Bangchak Sub District Municipality, Thailand",Thailand,"Bangchak Sub District Municipality, Thailand",Integrated climate plan,2017
268,"Hat Siao Sub-District Municipality, Thailand",Thailand,"Hat Siao Sub-District Municipality, Thailand",Integrated climate plan,2017
269,"Hat Yai City Municipality, Thailand",Thailand,"Hat Yai City Municipality, Thailand",Integrated climate plan,2017
270,"Huai Khao Kam Municipality, Thailand",Thailand,"Huai Khao Kam Municipality, Thailand",Climate mitigation plan,2017
271,"Huai Khao Kam Municipality, Thailand",Thailand,"Huai Khao Kam Municipality, Thailand",Climate mitigation plan,2014
