,"Agriculture, forest and other land use",Industrial process and product use,Stationary energy,Transport,Waste management,city,country,inventory_type,Other
198,0.0,0.0,549653.0889,342197.1247,159142.2423,"City of Thunder Bay, ON, Canada",Canada,Community inventories,
199,0.0,0.0,2628756.0,2127518.0,203949.0,"City of Vancouver, BC, Canada",Canada,Community inventories,
200,0.0,0.0,0.0,0.0,208994.0,"City of Vancouver, BC, Canada",Canada,Government operations inventory,713.0
201,0.0,0.0,0.0,860.0,0.0,"City of Yellowknife, Canada",Canada,Government operations inventory,0.0
202,0.0,0.0,0.0,0.0,0.0,"District of Delta, BC, Canada",Canada,Community inventories,
203,0.0,0.0,0.0,2219.0,0.0,"District of Delta, BC, Canada",Canada,Government operations inventory,0.0
204,59632.0,0.0,142966.0,80472.0,6731.0,"District of North Cowichan, Canada",Canada,Community inventories,
205,0.0,0.0,0.0,723.0,0.0,"District of North Cowichan, Canada",Canada,Government operations inventory,0.0
206,0.0,0.0,133956.0,262128.0,30384.0,"District of Saanich, BC, Canada",Canada,Community inventories,
207,0.0,0.0,0.0,2487.0,0.0,"District of Saanich, BC, Canada",Canada,Government operations inventory,0.0
208,0.0,0.0,0.0,1002.0,0.0,"District of West Vancouver, Canada",Canada,Government operations inventory,0.0
209,0.0,0.0,0.0,3300.0,241280.0,"Metro Vancouver, BC, Canada",Canada,Government operations inventory,0.0
210,0.0,0.0,0.0,0.0,0.0,"Regional Municipality of Waterloo, ON, Canada",Canada,Community inventories,
211,0.0,0.0,0.0,0.0,0.0,"Regional Municipality of Waterloo, ON, Canada",Canada,Government operations inventory,0.0
212,0.0,0.0,364505.0,133577.0,23168.0,"Town of Ajax, Canada",Canada,Community inventories,
213,0.0,0.0,0.0,833.0,664.0,"Town of Ajax, Canada",Canada,Government operations inventory,0.0
214,34446.0,0.0,137580.0,116203.0,24071.0,"Town of Caledon, Canada",Canada,Community inventories,
215,23042.0,780011.0,165822.0,354165.0,47614.0,"Town of Halton Hills, ON, Canada",Canada,Community inventories,
216,0.0,0.0,0.0,0.0,0.0,"Town of Halton Hills, ON, Canada",Canada,Government operations inventory,0.0
217,0.0,0.0,688375.0,189230.0,7787.0,"Town of Oakville, ON, Canada",Canada,Community inventories,
218,0.0,0.0,0.0,0.0,0.0,"Municipality of Providencia, Chile",Chile,Community inventories,
219,0.0,0.0,0.0,0.0,0.0,"Municipality of Santiago, Chile",Chile,Community inventories,
220,458195.0,104.0,408843.0,139418.0,26710.0,"Municipality of Valdivia, Chile",Chile,Community inventories,
221,44245.0,21660865.0,31244215.0,7405427.0,433613.0,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,Community inventories,
222,0.0,0.0,0.0,0.0,400457.99,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,975.23
223,12855.00986,0.0,255149.3799,93108.82142,88897.0688,"Kinmen County Government, Chinese Taipei",Chinese Taipei,Community inventories,
224,11239.0,4327.0,13763006.0,4856889.0,292145.0,"New Taipei City Government, Chinese Taipei",Chinese Taipei,Community inventories,
225,0.0,0.0,0.0,4134856.0,42458.9,"New Taipei City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,-471839.0
226,162859.8293,26011.49665,3039657.074,1508809.867,133643.8212,"Pingtung County Government, Chinese Taipei",Chinese Taipei,Community inventories,
227,0.0,0.0,0.0,0.0,118306.56999999999,"Pingtung County Government, Chinese Taipei",Chinese Taipei,Government operations inventory,2699.75
228,317978.0,9419014.0,24880592.0,1010222.0,278613.0,"Taichung City Government, Chinese Taipei",Chinese Taipei,Community inventories,
229,388462.0,2428618.0,21756523.0,3444771.0,753343.0,"Tainan City Government, Chinese Taipei",Chinese Taipei,Community inventories,
230,36.0,3267.0,0.0,27970.0,48050.0,"Tainan City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,1548.0
231,1491.455918,0.0,9757893.416,3053950.311,297449.9029,"Taipei City Government, Chinese Taipei",Chinese Taipei,Community inventories,
232,0.0,0.0,0.0,5010000.0,450500.0,"Taipei City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,4800.0
233,44793.16994,1452904.691,24827118.74,10465701.41,278287.496,"Taoyuan City Government, Chinese Taipei",Chinese Taipei,Community inventories,
234,0.0,0.0,0.0,0.0,3271.22,"Taoyuan City Government, Chinese Taipei",Chinese Taipei,Government operations inventory,7758.39
235,592687.0,155562.0,5303656.0,6578072.0,1272471.0,"Capital District of Bogotá, Colombia",Colombia,Community inventories,
236,57.0,0.0,118.0,211.0,780.0,"City of San Jerónimo de Montería, Colombia",Colombia,Community inventories,
237,0.0,0.0,0.0,0.0,0.0,"City of San Jerónimo de Montería, Colombia",Colombia,Government operations inventory,0.0
238,0.0,687636.0,1683925.0,314169.0,337785.0,"Municipality of Barranquilla, Colombia",Colombia,Community inventories,
239,0.0,0.0,0.0,0.0,0.0,"Municipality of Cartago, Colombia",Colombia,Community inventories,
