"action_co2_reduction","action_cost","action_description","action_end_year","action_start_year","action_website","country","language","name"
95.166,88044,"L'Amministrazione Comunale ha provveduto nel 2013 a sostituire le vecchie caldaie degli anni '80 installate presso la scuola elementare, la palestra e il Centro sportivo con nuove caldaie a condensazione. L'intervento è stato eseguito tramite l'ausilio di un ente terzo al quale l'amministrazione Comunale dovrà ripagare l'intervento in otto anni.  ",2020,2011,"","Italy","it","Albano Sant'Alessandro"
1.777,18000,"L'amministrazione Comunale ha provveduto ad installare cinque pannelli di solare termico sulla copertura degli spogliatoi presso il centro sportivo ad integrazione della caldaia installata.",2020,2011,"","Italy","it","Albano Sant'Alessandro"
71.37,40,"Public awareness campaign",2020,2012,"","Spain","en","Albatera"
44.81,95000,"Power reduction of the lamps installed.",2020,2013,"","Spain","en","Albatera"
35.18,95031.49,"Installing and changing natural gas buerners in public building.",2020,2014,"","Spain","en","Albatera"
135,120000,"Il Comune annualmente provvede ad interventi di efficientamento sugli edifici pubblici, compatibilmente con le risorse finanziarie a disposizione.
A partire dal 2012 il Comune ha realizzato:
- Riqualificazione di un generatore di calore della centrale termica comune ai due plessi scolastici.
- Installazione valvole termostatiche nelle scuola primaria.
- Sostituzione dei serramenti nella scuola secondaria di primo grado.
Ulteriori interventi saranno valutati negli anni a venire.",2020,2013,"","Italy","it","Albiate"
60,63000,"Il Comune ha predisposto un bando di gara per l'affidamento ad una Società degli interventi di riqualificazione degli impianti.
Alla Società verrà affidata la gestione degli impianti per 20 anni.
Di seguito i dettagli dei criteri di assegnazione posti a base di gara:
- 915 punti luce da riqualificare
- Riduzione energetica attesa: 60%
- Riduzione emissioni di CO2: da 366   tonCO2/anno a 141 tonCO2/anno.",2020,2013,"","Italy","it","Albiate"
190,NA,"L'Amministrazione dimostra interesse nei confronti della tematica della mobilità dolce.
E' in corso di elaborazione il progetto di realizzazione di una pista ciclabile di collegamento tra i Comuni di Albiate e Sovico, che rientra nel più ampio quadro di mobilità ciclabile della Provincia di Monza e Brianza (denominato 'Moving Better').",2020,2012,"","Italy","it","Albiate"
505,3000,"photovoltaic installation on Public Administration Buildings",2020,2012,"","Italy","en","Albino"
10,NA,"wast collection - route implementation and optimization",2020,2012,"","Italy","en","Albino"
50,15000,"farmers market at 0 km",2020,2012,"","Italy","en","Albino"
1586.36,NA,"Il Comune di Albosaggia ha approvato con Deliberazione del Consiglio Comunale n.24 del 21 novembre 2012 le Linee guida per l’allegato energetico al nuovo regolamento edilizio comunale.",2020,2012,"","Italy","it","Albosaggia"
1.91,22825,"L’Amministrazione di Albosaggia ha individuato come possibile intervento la realizzazione di sei impianti fotovoltaici sugli Alpeggi nelle località montane del territorio comunale. ",2014,2012,"","Italy","it","Albosaggia"
0.1,2000,"Il Comune di Albosaggia prosegue l’erogazione di servizi e prodotti sostenibili.",2014,2012,"","Italy","it","Albosaggia"
604.05,NA,"Plan Renove, Renewal Scheme",2011,2007,"","Spain","en","Alcalá de Guadaíra"
144.34,91106.4,"Replacement of Streetlights in Pino Piñonero Street",2011,2009,"","Spain","en","Alcalá de Guadaíra"
15385.03,2313538.35,"Reforestation on the River Guadaira banks-Parque de Oromana (trees planted)",2014,2011,"","Spain","en","Alcalá de Guadaíra"
2.73,5800,"Instalación en la cubiertas del las instalaciones del Campo de Futbol ""El Prado"" de equipos para la producción de agua caliente sanitaria mediante el uso de energía solar térmica de baja temperatura. ",2020,2017,"","Spain","es","Alcalá de los Gazules"
28.37652,67800.8,"Mejora de alumbrado público exterior de varias calles del municipio incluyendo: 1. Renovación de centros de mando en mal estado así como sus elementos interiores; 2. Sustitución de lámparas de mercurio (dada la baja eficiencia y toxicidad de sus componentes) por otras de vapor de sodio de alta presión; 3. Eliminación de excesos de potencias en luminarias mediante la sustitución del balasto existente por uno de tipo electrónico y regulable (más eficiente); y 4. Incorporación de sistema de telegestión y control punto a punto que permita la regulación y el control de la instalación sustituida así como la incorporación a dicho sistema de futuras renovaciones o nuevas instalaciones. Esta acción se desarrolló en el marco del los Proyectos Integrales de Desarrollo Local y Urbano - CRECE, impulsado por la Diputación de Cádiz y cofinanciado por FEDER. ",2015,2014,"","Spain","es","Alcalá de los Gazules"
23,55720.52,"Instalación en las cubiertas de varios edificios públicos del municipio de un generador fotovoltaico de pequeña potencia no superior a los 10 kW de potencia nominal y con conexión a red dentro de la instalación eléctrica interna del edificio, tal y como se contempla en el RD 1699/2011. Esta acción se desarrolló en el marco del los Proyectos Integrales de Desarrollo Local y Urbano - CRECE, impulsado por la Diputación de Cádiz y cofinanciado por FEDER.",2015,2014,"","Spain","es","Alcalá de los Gazules"
8.58,6000,"Urban planning criteria of sustainable mobility",2013,2011,"","Spain","en","Alcalá del Río"
2444.81,6e+05,"the action consist on pedestrianizate the historical center.",2016,2012,"","Spain","en","Alcalá del Río"
750,70,"This action has consist in increasing the solar thermal area in the municipality of  Alcala.",2020,2016,"","Spain","en","Alcalá del Río"
10.77,29047,"Mejora de alumbrado público exterior de varias calles del municipio incluyendo: 1. Renovación de centros de mando en mal estado así como sus elementos interiores; 2. Sustitución de lámparas de mercurio (dada la baja eficiencia y toxicidad de sus componentes) por otras de vapor de sodio de alta presión; 3. Eliminación de excesos de potencias en luminarias mediante la sustitución del balasto existente por uno de tipo electrónico y regulable (más eficiente); y 4. Incorporación de sistema de telegestión y control punto a punto que permita la regulación y el control de la instalación sustituida así como la incorporación a dicho sistema de futuras renovaciones o nuevas instalaciones. Esta acción se desarrolló en el marco del los Proyectos Integrales de Desarrollo Local y Urbano - CRECE, impulsado por la Diputación de Cádiz y cofinanciado por FEDER. ",2015,2014,"","Spain","es","Alcalá del Valle"
1.63,5272.22,"Instalación en la cubierta de la Guardería Municipal de equipos para la producción de agua caliente sanitaria mediante el uso de energía solar térmica de baja temperatura. Esta acción se desarrolló en el marco del los Proyectos Integrales de Desarrollo Local y Urbano - CRECE, impulsado por la Diputación de Cádiz y cofinanciado por FEDER.",2015,2014,"","Spain","es","Alcalá del Valle"
21.66,42350,"Sustitución de lámparas y luminarias (dada la baja eficiencia y toxicidad de algunos de sus componentes) por otras que utilicen tecnología LED o MICROLED. Eliminación de excesos de potencias en lámparas y fluorescencias o similares, mediante la sustitución de los elementos auxiliares arrancadores existentes por driver LED, regulables 1-10 V y/o protocolo DALI. Esta acción se desarrolló en el marco del los Proyectos Integrales de Desarrollo Local y Urbano - CRECE, impulsado por la Diputación de Cádiz y cofinanciado por FEDER",2015,2014,"","Spain","es","Alcalá del Valle"
1687.45,770670,"Installations of Renewable Energies",2016,2009,"","Spain","en","Alcalá la Real"
389.74,162622,"Renewal of street lighting as the measures outlined in the municipal POE.",2020,2008,"","Spain","en","Alcalá la Real"
1401.3,15000,"Awareness campaigns on energy efficiency in the field Tertiary Sector.",2020,2012,"","Spain","en","Alcalá la Real"
12.1,35,"35 PENCIL CASES ""El camino lo haces tú""",2012,2012,"","Spain","en","Alcalalí"
52,20,"150 LEAFLETS ""Una vivienda sostenible es posible""",2011,2011,"","Spain","en","Alcalalí"
20.8,60,"60 THERMOMETER CALENDARS ",2012,2012,"","Spain","en","Alcalalí"
511,93665,"Energy efficiency from the application of a public lighting POE",2020,2007,"","Spain","en","Alcaudete"
44.67,407152,"Replacement lamps for other more efficient",2010,2007,"","Spain","en","Alcaudete"
931.33,463672," Renewable energy installations",2016,2009,"","Spain","en","Alcaudete"
11.88,0.01,"EPLACEMENT LIGHT BULBS INCANDESCENCE BY LOW CONSUMPTION BUBLS",2020,2012,"","Spain","en","Alcocer de Planes"
13.8,0.01,"RENOVATION DOMESTIC APPLIANCES			",2020,2012,"","Spain","en","Alcocer de Planes"
2.95,12434.6,"REPLACEMENT OF VSAP LIGHTS IN LAS ERAS, SUBIDA, CAMINO Y SALIDA STREET",2013,2013,"","Spain","en","Alcocer de Planes"
281.25,270000,"3. Increase the area of solar thermal in the municipality. Target: install solar heating in 75 homes already buil",2020,2012,"","Spain","en","Alcolea del Río"
11.73,16883,"1. Energy efficiency resulting from the implementation of a POE public buildings",2016,2008,"","Spain","en","Alcolea del Río"
700,3e+05,"this action is about reforesting hectares of forest cover recovery.",2020,2012,"","Spain","en","Alcolea del Río"
10.61,35000,"REPLACEMENT OF EXISTING LIGHTS BY LED - 1",2012,2012,"","Spain","en","Alcoleja"
1.24,NA,"RENOVATION OF THE CAR FLEET OF TOURISMS",2020,2012,"","Spain","en","Alcoleja"
9.22,35000,"REPLACEMENT OF EXISTING LIGHTS BY LED - 2",2014,2014,"","Spain","en","Alcoleja"
7.6,1000,"Cada año se incrementan en 4 árboles las zonas verdes del municipio.",2020,2008,"","Spain","es","Aldeire"
14.99,25000,"Mejora en la gestión del tráfico y cambio en la circulación para mejorar su eficiencia.",2020,2008,"","Spain","es","Aldeire"
6.03,1e+05,"Mejora de acerados ",2020,2009,"","Spain","es","Aldeire"
9,40000,"Il Comune di Aldeno ha approvato il progetto che prevede la
realizzazione, nel 2015, del nuovo impianto fotovoltaico
installato sulla copertura delle strutture del Centro di
Raccolta Materiali (CRM).
Tale impianto avrà una potenza nominale di 20 kWp, per una
produzione annua stimata in 21.000 kWh, che verrà totalmente
autoconsumata da utenze comunali. In particolar
modo, gli edifici che potranno godere di questo impianto
sono: la sede municipale, la biblioteca, l’edificio delle ex
scuole elementari e le attuali scuole elementari.",2016,2015,"","Italy","it","Aldeno"
2,144200,"Nel 2009 il Comune di Aldeno ha realizzato il rinnovamento degli impianti di illuminazione pubblica. In totale sono stati rinnovati 103 apparecchi. Il nuovo impianto di illuminazione è stato progettato e realizzato secondo le recenti normative in materia
di inquinamento luminoso e risparmio energetico, infatti, è dotato di un sistema di regolazione interno
del flusso luminoso che ne riduce la potenza durante le ore notturne. Per quanto riguarda i corpi illuminanti
è composto prevalentemente da apparecchi di illuminazione muniti di lampada agli ioduri metallici
da 60W che hanno sostituito i precedenti apparecchi muniti di lampada al sodio  da 70W. Il risparmio èquindi valutabile nell’ordine del 15% per punto luce.",2010,2009,"","Italy","it","Aldeno"
