,name,country,emissions_baseline_year,percent_emissions_municipal,percent_emissions_tertiary,percent_emissions_residential,percent_emissions_public lighting,percent_emissions_transport,tons_co2_municipal,tons_co2_tertiary,tons_co2_residential,tons_co2_public lighting,tons_co2_transport,energy_consumption_baseline_year,percent_energy_consumption_municipal,percent_energy_consumption_tertiary,percent_energy_consumption_residential,percent_energy_consumption_public lighting,percent_energy_consumption_transport,mwh_energy_consumption_municipal,mwh_energy_consumption_tertiary,mwh_energy_consumption_residential,mwh_energy_consumption_public lighting,mwh_energy_consumption_transport,percent_energy_consumption_from_electricity,percent_energy_consumption_from_fossil fuels,mwh_energy_consumption_from_electricity,mwh_energy_consumption_from_fossil fuels,emissions_factor,tons_co2_per_capita,mwh_per_capita,percent_emissions_non-energy related,tons_co2_non-energy related,percent_energy_consumption_from_renewables,mwh_energy_consumption_from_renewables,percent_emissions_industry,tons_co2_industry,percent_energy_consumption_industry,mwh_energy_consumption_industry,percent_emissions_other,tons_co2_other,percent_energy_consumption_other,mwh_energy_consumption_other,percent_energy_consumption_from_heat/cold,mwh_energy_consumption_from_heat/cold
9498,Villa Castelli,Italy,2007,0.44,1.61,18.14,0.03,72.57,100.196,368.371,4147.707,7.48,16597.557,2007,0.62,4.25,27.97,0.72,56.44,650,4429,29180,748,58878,16.25,83.75,16952,87365,IPCC,2.33,10.64,,,,,7.21,1649.754,10.00,10432,,,,,,
9499,Villa Celiera,Italy,,,,,,,,,,,,2005,,,,,100.00,,,,,6038,19.38,80.62,3574,14864.22,IPCC,,,,,,,,,,,,,,,,
9500,Villa Cortese,Italy,2005,,,,,18.46,,,,,4014.5749404,2005,2.41,8.62,69.21,,18.21,2159.241,7717.651,61939.121,,16293.563,13.18,84.84,11796.891,75929.784,IPCC,3.56,14.24,,,1.98,1772.257,,,1.55,1389.356,81.54,17728.3915206,,,,
9501,Villa Faraldi,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9502,Villa Guardia,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9503,Villa Lagarina (TN),Italy,2008,2.12,11.27,30.81,1.03,54.76,422.2424,2243.8844,6131.7625,205.5444,10898.1393,2008,2.35,7.44,35.45,0.57,54.20,1801.6,5702.2,27177.5,436.4,41553.1,11.01,82.63,8442.7,63350.1,IPCC,5.56,21.40,,,6.36,4878,,,,,,,,,,
9504,Villa Literno,Italy,2009,0.60,16.24,45.74,0.35,37.07,219.42626,5941.7864,16736.206,129.13902,13561.53398,2009,0.62,12.92,48.00,0.23,38.24,855.43,17775.4,66040.5,311.93,52611.66,15.24,84.76,20969.43,116625.49,IPCC,3.22,12.10,,,,,,,,,,,,,,
9505,Villa Minozzo,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9506,Villa Poma,Italy,2011,0.18,2.14,5.42,0.17,2.87,99.288141,1196.187,3021.414,92.674176,1602.337,2011,0.30,2.67,10.10,0.14,4.68,410.727,3621,13705,191.872,6354,72.44,25.25,98344.599,34281,IPCC,27.26,64.82,,,1.67,2263.4,89.22,49761.362,82.11,111474.4,,,,,0.64,868
9507,Villa San Pietro,Italy,2011,2.37,11.90,44.45,2.61,38.67,61.27526,307.2464,1147.19,67.34,998.033,2011,2.14,10.19,43.13,2.01,42.53,197.38,937.6,3970,185,3915,35.13,60.81,3234,5597.98,IPCC,1.28,4.56,,,4.05,373,,,,,,,,,,
9508,Villa Sant'Angelo,Italy,2005,0.49,19.19,57.57,2.30,20.45,7.0257,274.0081,821.8951,32.7957,291.9222,2005,0.39,12.94,66.21,1.17,19.29,22.4,750.1,3836.4,67.9,1117.8,16.55,74.73,959,4330.5,IPCC,3.30,13.41,,,8.72,505.1,,,,,,,,,,
9509,Villa Santa Lucia degli Abruzzi,Italy,2005,4.48,10.15,68.03,3.63,13.71,32.805,74.2729,498.0506,26.565,100.3608,2005,2.55,6.39,77.30,1.73,12.03,81,203.4,2459.8,55,382.8,13.17,76.20,419.2,2424.7,IPCC,3.96,17.20,,,10.63,338.1,,,,,,,,,,
9510,Villa Verde,Italy,2006,1.76,17.68,63.90,8.38,2.81,11.7558,118.075,426.6923,55.9314,18.7552,2006,0.69,7.40,83.83,3.27,2.67,18.66,201.1,2277.2,88.78,72.62,27.34,31.11,742.57,845.13,IPCC,1.89,4.49,,,41.55,1128.7,5.48,36.5652,2.14,58.04,0.00,4.1637804315543E-14,,,,
9511,Villa Santa Maria,Italy,2005,2.06,11.21,48.86,2.43,31.49,100.41614,545.69729,2378.23412,118.1418,1532.76484,2005,1.85,8.30,54.61,1.39,33.85,325.95,1464.21,9628,244.6,5967.93,15.65,84.35,2758.66,14872.03,IPCC,3.33,12.05,3.94,192.01,,,,,,,,,,,,
9512,Villa d'Adda,Italy,2005,1.96,7.88,63.31,1.09,25.76,229.48392,922.77004,7412.3068,127.812,3015.72266,2005,1.99,5.85,68.37,0.62,23.17,1018.2,2994.23,34978.71,319.53,11853.06,13.00,80.77,6648.88,41323.49,IPCC,2.69,11.01,,,6.24,3191.37,,,,,,,,,,
9513,Villa d'Almè,Italy,2005,0.95,7.68,31.93,0.60,58.84,341.15766,2747.74797,11426.14318,215.252,21053.90059,2005,1.86,10.78,65.35,0.63,21.39,1597.29,9252.44,56108.28,538.13,18367.12,14.56,77.30,12468.29,66215.93,IPCC,5.27,11.60,,,8.15,6979.02,,,,,-0.00,-7.5732486948252E-13,-0.00,-8.0E-27,,
9514,Villa d'Ogna,Italy,2005,3.30,15.39,52.74,1.29,27.28,163.881219,764.402356,2619.018105,64.164265,1354.876585,2005,3.03,14.57,57.94,0.84,23.63,681.772,3283.482,13054.987,188.165,5325.168,14.02,78.63,3159.83,17719.216,IPCC,2.54,10.69,,,7.34,1654.529,,,,,-0.00,-1.5506884665228E-13,,,,
9515,Villa de Mazo,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9516,Villa de Tegueste,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9517,Villa del Río,Spain,2007,1.66,13.52,16.07,,41.42,620.55,5065.2,6018.75,,15511.7788,2007,,,,,52.07,,,,,60035.15,32.02,65.18,36916,75140.25,IPCC,5.04,15.09,3.91,1466,2.80,3232.58,13.10,4907.7,,,10.31,3862.554,47.93,55253.69,,
9518,Villa di Briano,Italy,2011,0.99,2.36,42.79,3.98,47.77,144.98933,343.37871,6235.89019,580.37343,6961.46589,2011,0.92,1.61,41.72,2.37,51.89,480.72,838.35,21764.85,1237.47,27072.77,18.06,81.94,9423.15,42746.14,IPCC,2.40,8.60,,,,,2.10,306.45018,1.49,775.13,,,,,,
9519,Villa di Serio,Italy,2010,0.26,4.86,19.35,0.32,6.79,143.23795,2706.10823,10764.01666,180.23665,3780.09562,2010,0.28,5.30,29.17,0.25,9.87,419.94,8017.86,44129.32,381.05,14922.7,59.13,38.72,89445.15,58568.83,IPCC,8.49,23.01,,,2.14,3243.38,68.41,38060.29445,55.13,83387.2,0.00,1.4393890523934E-12,-0.00,-2.0E-26,,
9520,Villa di Tirano,Italy,,,,,,,,,,,,2005,1.50,7.99,74.27,0.39,15.84,754.92,4016.11,37319.21,195.07,7961.51,12.09,51.59,6073.54,25922.81,IPCC,,,,,36.32,18250.47,,,,,,,,,,
9521,Villa y Puerto de Tazacorte,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9522,Villabate,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9523,Villablanca,Spain,2007,3.05,7.62,31.32,1.55,54.22,331.38,828.9657,3407.9166,168.651,5899.1813,2007,1.85,5.29,25.69,0.93,54.87,748.52,2138.91,10384.58,374.783,22177.79,14.87,75.92,6011,30685.07,IPCC,3.98,13.43,,,9.21,3720.75,0.68,74.25,0.41,165,1.56,169.5576,10.95,4427.237,,
9524,Villacarrillo,Spain,2007,6.52,14.83,14.23,,46.02,4560.75,10366.2,9951.3,,32175.2408,2007,3.59,8.15,7.83,,44.00,10135,23036,22114,,124332.2,21.63,55.10,61107,155706.04,IPCC,6.24,25.22,2.51,1756,23.27,65757.78,3.75,2619.9,2.06,5822,12.14,8490.91266,34.37,97131.63,,
9525,Villachiara,Italy,2007,1.05,41.72,43.34,1.27,12.61,62.61586,2488.04485,2584.89056,75.86,752.13666,2007,1.04,33.47,52.63,0.77,12.08,256,8208.03,12905.2,189.65,2962.12,17.71,74.63,4343.2,18299.71,IPCC,4.58,17.39,,,7.66,1878.1,,,,,0.00,3.6755976040582E-13,-0.00,-3.6379788070918E-12,,
9526,Villacidro,Italy,2009,2.72,36.65,32.45,1.64,2.62,929.144,12500.4958,11066.5305,558.62,894.5664,2009,2.74,31.18,40.81,1.26,4.15,2292.5,26043.7,34084.5,1054,3463.6,64.62,27.61,53972.7,23059.8,IPCC,2.35,5.75,,,7.77,6490.5,20.20,6887.9935,16.99,14187.1,3.72,1268.2295,2.87,2397.6,,
9527,Villadossola,Italy,2006,2.45,10.91,37.13,1.43,48.07,620.085,2757.312,9384.481,362.392,12148.192,2006,2.65,7.48,41.65,0.78,47.44,2625,7395,41199,776,46933,12.85,83.41,12712,82516,IPCC,3.66,13.78,,,3.74,3700,,,,,,,,,,
9528,Villafalletto,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9529,Villafranca,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9530,Villafranca Padovana,Italy,2010,0.66,,48.98,1.30,34.37,337.858,,24977.707,664.608,17528.228,2010,0.74,,49.70,0.73,38.11,1386,,93681,1376,71837,18.70,81.30,35249,153236,IPCC,5.18,19.15,,,,,14.68,7487.692,10.72,20205,,,,,,
9531,Villafranca Sicula,Italy,2011,1.24,5.81,35.56,6.91,48.68,38.8792,182.4609,1116.9998,217.0119,1529.0895,2011,0.89,4.04,31.73,4.40,57.69,91.2,411.8,3238.3,449.3,5886.5,25.80,74.20,2633.2,7571.1,IPCC,2.20,7.16,,,,,1.81,56.773,1.25,127.2,,,,,,
9532,Villafranca Tirrena,Italy,2011,2.49,15.92,19.58,1.88,29.87,499.19396,3196.681,3933.458,378.38243,5999.82558,2011,2.27,14.61,19.22,1.49,35.06,1476.35,9499,12502,967.73,22801.54,45.99,53.24,29906.07,34622.55,IPCC,2.30,7.43,,,0.78,505,30.26,6078.075,27.35,17787,,,,,,
9533,Villafranca de Córdoba,Spain,2007,1.29,10.69,13.42,,45.30,352.35,2914.2,3657.15,,12344.1516,2007,,,,,54.25,,,,,47715.87,27.04,68.97,23785,60663.7,IPCC,6.31,19.57,3.16,862,3.99,3513.54,13.87,3779.55,,,12.26,3342.307,45.75,40246.38,,
9534,Villafranca di Verona,Italy,2008,0.82,22.26,36.90,0.72,39.30,1288.86,34876.4654,57812.2097,1128.9152,61578.7896,2008,0.87,18.46,40.01,0.43,40.22,5133.8,108845.3,235899.8,2531.2,237130.2,15.82,84.18,93242.4,496297.9,IPCC,4.83,18.19,,,,,,,,,,,,,,
9535,Villafrati,Italy,2011,2.86,15.03,38.62,2.06,30.19,180.7984,951.1528,2444.8716,130.2812,1911.19,2011,2.28,12.34,35.72,1.35,36.32,463.1,2504.6,7248.9,273.7,7370,31.86,66.95,6466.5,13587.5,IPCC,1.88,6.02,,,1.18,240,6.77,428.4234,6.93,1405.5,4.48,283.3816,5.07,1028.2,,
9536,Villaga,Italy,2007,0.45,21.64,38.37,0.76,38.77,33.48484,1613.9116,2861.70824,56.91352,2891.37008,2007,0.36,15.16,53.61,0.37,30.51,130.66,5561.23,19664.16,134.23,11190.8,12.71,61.52,4660.87,22565.01,IPCC,3.79,18.62,,,25.78,9455.2,,,,,,,,,,
9537,Villagarcia de la Torre,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9538,Villagonzalo,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9539,Villagrande Strisaili,Italy,2007,2.88,9.12,44.33,4.62,2.53,206.2341,653.354,3174.3818,330.5547,180.9073,2007,2.76,6.14,54.31,2.74,3.65,528.65,1176.83,10405.46,524.69,698.79,40.72,46.86,7801.91,8978.36,IPCC,2.05,4.79,,,12.41,2378.34,36.52,2614.869,30.40,5824.3,-0.00,-7.8216544352472E-13,0.00,4.0E-26,,
9540,Villajoyosa,Spain,2010,2.85,16.32,27.43,1.65,51.74,2698.04293,15428.29508,25926.77144,1561.10156,48906.63096,2010,2.20,12.01,20.98,1.19,63.62,6547.32,35740.52,62441.91,3556.04,189364.96,33.18,66.82,98752.96,198897.79,IPCC,2.75,8.67,,,,,,,,,,,,,,
9541,Villalago,Italy,2005,3.68,18.67,56.34,2.20,19.10,72.8296,369.072,1113.5458,43.47,377.4825,2005,3.04,13.24,64.48,1.13,18.10,242.3,1054.2,5133.5,90,1441,17.25,74.35,1373.1,5918.6,IPCC,3.18,12.80,,,8.41,669.2,,,,,,,,,,
9542,Villalba,Italy,2011,2.55,14.02,41.51,2.96,38.96,72.5844,398.7809,1181.0332,84.3456,1108.3146,2011,3.21,12.02,41.55,2.26,40.97,313.3,1173.7,4058.1,220.8,4001.3,36.10,62.59,3525.8,6113.4,IPCC,1.64,5.64,,,1.31,128,,,,,,,,,,
9543,Villalba del Alcor,Spain,2007,2.76,7.13,32.52,1.24,54.13,374.841,969.057,4417.7949,168.516,7353.9937,2007,2.04,4.64,26.50,0.74,54.47,1034.62,2355.1,13446.87,374.48,27640.51,14.41,76.13,7311,38634.65,IPCC,3.85,13.03,,,9.47,4803.47,0.60,81.9,0.36,182,1.61,218.8968,11.26,5715.54,,
9544,Villaluenga del Rosario,Spain,2007,6.99,3.15,15.12,3.48,51.76,115.65,52.2,250.2,57.6,856.5611,2007,,,,,60.02,,,,,3320.36,19.11,75.69,1057,4187.73,IPCC,3.45,10.95,6.47,107,5.20,287.72,,,,,13.03,215.72,39.98,2212.09,,
9545,Villamagna,Italy,2005,1.68,20.35,44.36,3.88,21.75,61.80268,749.147,1632.67555,142.78929,800.62046,2005,1.93,20.05,51.42,2.31,24.28,246.61,2561,6566.45,295.63,3101.04,17.58,82.42,2245.29,10525.44,IPCC,1.51,5.23,7.97,293.47,,,,,,,,,0.00,1.8189894035459E-12,,
9546,Villamanrique de la Condesa,Spain,2007,4.07,12.32,14.61,,41.57,890.199,2696.004,3197.466,,9096.0494,2007,,,,,51.67,,,,,35233.16,29.12,69.22,19860.07,47202.29,IPCC,5.40,16.56,3.59,786,1.65,1126.73,9.84,2153.3625,,,14.00,3064.7614,48.33,32955.92,,
9547,Villamarzana,Italy,2006,0.81,11.06,26.93,0.86,36.77,63.26,865.7816,2108.6606,67.5696,2879.271,2006,0.75,10.89,31.03,0.66,36.04,229.7,3340.9,9524,201.1,11061.9,24.07,75.93,7386,23302,IPCC,6.39,25.05,,,,,23.58,1846.7849,20.64,6333.3,-0.01,-0.50270000000012,-0.00,-0.09999999999965,,
9548,Villamartín,Spain,2007,4.13,12.50,14.82,,36.01,2720.736,8239.8465,9772.4655,,23740.5476,2007,,,,,44.93,,,,,92028.48,29.64,68.01,60698.69,139302.94,IPCC,5.33,16.18,4.19,2765,2.35,4813.46,9.98,6581.3625,,,18.36,12106.137,55.07,112786.61,,
9549,Villamayor,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9550,Villamayor de Monjardin,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9551,Villamesias,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9552,Villamiel,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9553,Villanova Monteleone,Italy,2010,1.65,7.13,20.42,1.69,54.70,146.153897514,631.825544324,1809.031480512,149.577796417,4846.412761488,2010,1.44,5.28,19.89,1.07,61.56,392.160004,1437.84687,5415.16917,291.079987,16761.946969,21.95,74.90,5976.7,20394.3,LCA,3.68,11.32,,,3.14,855.9,14.41,1277.1330173,10.76,2928.71233,-0.00,-1.4562165233656E-13,,,,
9554,Villanova Tulo,Italy,2009,3.15,14.04,44.15,4.99,33.67,61.98336,276.3306,869.18994,98.3115,662.8272,2009,2.15,5.25,60.36,1.87,30.38,179.56,438.62,5042.04,156.05,2537.62,19.79,43.34,1652.91,3620.72,IPCC,1.69,4.54,,,36.87,3080.26,,,,,0.00,1.4324541552923E-13,,,,
9555,Villanova d'Ardenghi,Italy,2012,3.60,,16.31,0.29,5.07,348.335,,1578.287,28.497,490.26,2012,2.94,,22.97,0.20,6.60,855,,6674,59,1917,45.37,54.63,13181,15874,IPCC,13.50,40.52,,,,,74.73,7230.618,67.29,19550,,,,,,
9556,Villanova del Ghebbo,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9557,Villanova del Sillaro,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,4.36,17.72,,,,,,,,,,,,,,
9558,Villanueva Mesía,Spain,2007,1.87,8.65,14.82,,51.51,194.4,901.35,1544.4,,5366.9265,2007,,,,,60.92,,,,,20769.95,19.46,78.85,6634,26884.69,IPCC,4.81,15.47,4.89,510,1.69,575.88,3.31,345.15,,,14.95,1557.3904,39.08,13324.63,,
9559,Villanueva de Algaidas,Spain,2007,2.40,8.08,11.05,,46.90,637.65,2151.9,2940.3,,12482.243,2007,,,,,43.77,,,,,48256.25,16.29,59.94,17958,66080.31,IPCC,5.85,18.46,6.06,1613,23.77,26200.46,8.83,2351.25,,,16.68,4440.0953,56.23,61982.51,,
9560,Villanueva de Castellón,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9561,Villanueva de Córdoba,Spain,2007,3.90,11.80,13.99,,46.49,2138.2605,6475.806,7680.312,,25519.6099,2007,,,,,48.25,,,,,98759.62,23.30,59.75,47703.91,122307.64,IPCC,5.64,17.48,3.50,1923,16.95,34692.81,9.42,5172.381,,,10.89,5979.2875,51.75,105944.74,,
9562,Villanueva de Gállego,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9563,Villanueva de San Juan,Spain,2007,4.19,12.68,15.04,,40.71,310.806,941.2875,1116.369,,3022.9244,2007,,,,,50.59,,,,,11703.62,29.97,67.79,6933.98,15684.09,IPCC,5.25,16.00,3.52,261,2.24,517.62,10.13,751.8285,,,13.75,1020.726,49.41,11432.06,,
9564,Villanueva de la Reina,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9565,Villanueva de la Serena,Spain,2008,1.18,8.96,16.00,0.95,48.12,1684.08749,12780.68788,22814.65737,1352.8768,68632.51589,2008,0.97,6.56,16.22,0.64,54.55,4687.28,31608.72,78167.76,3074.72,262892.34,21.41,75.05,103158.3,361651.1,IPCC,5.58,18.84,,,3.55,17090.45,24.79,35359.39767,21.06,101469.03,,,,,,
9566,Villanueva de las Cruces,Spain,2007,1.39,5.05,31.61,2.14,57.91,20.3472,73.6542,461.3148,31.257,845.2052,2007,1.23,3.34,25.87,1.24,56.81,69,187.46,1453.24,69.46,3191.84,10.57,79.89,594,4488.58,IPCC,3.51,12.22,,,9.54,535.78,0.12,1.8,0.07,4,1.77,25.8192,11.45,643.36,,
9567,Villanueva de las Torres,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9568,Villanueva de los Castillejos,Spain,2007,2.70,9.89,25.14,1.73,50.35,434.3454,1593.7074,4051.9116,279.162,8114.7747,2007,2.03,6.69,21.30,1.12,55.05,1118.26,3694.62,11759.08,620.36,30389.99,23.23,70.17,12821,38734.57,IPCC,6.02,19.26,,,6.60,3645.84,9.16,1476.45,5.94,3281,1.03,166.1424,7.86,4338.1,,
9569,Villanueva del Ariscal,Spain,2007,4.80,14.55,17.25,,41.18,1287.972,3900.6675,4626.1935,,11040.3431,2007,,,,,53.75,,,,,42792.11,36.09,62.26,28734.2,49566.29,IPCC,4.47,13.06,4.25,1139,1.65,1310.83,11.62,3115.557,,,6.35,1702.4612,46.25,36819.21,,
9570,Villanueva del Arzobispo,Spain,2007,2.06,8.22,13.38,,47.83,1156.95,4608.45,7498.8,,26815.7127,2007,1.15,4.58,7.45,,46.34,2571,10241,16664,,103660.77,21.15,56.79,47313,127029.06,IPCC,6.48,25.87,2.93,1640,22.06,49340.2,14.32,8026.65,7.97,17834,11.27,6317.82094,32.51,72711.49,,
9571,Villanueva del Fresno,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,National/sub-national,,,,,,,,,,,,,,,,
9572,Villanueva del Río Segura,Spain,2008,1.92,11.75,23.38,3.69,59.26,117.286,717.473,1427.337,225.164,3618.651,2008,1.49,8.91,19.23,2.77,67.59,335,2001,4318,622,15173,27.92,70.75,5893,14935,IPCC,2.79,9.53,,,1.34,282,,,,,,,,,,
9573,Villanueva del Río y Minas,Spain,2007,22.35,12.04,12.32,,33.40,6061.05,3263.85,3341.7,,9056.1098,2007,,,,,42.65,,,,,35314.86,36.67,60.73,30357,50277.53,IPCC,5.16,15.34,2.07,560,2.61,2158.31,3.67,994.05,,,14.15,3837.1469,57.35,47477.99,,
9574,Villanueva del Trabuco,Spain,2007,2.12,6.70,11.97,,56.13,592.2,1872.45,3344.4,,15686.4808,2007,,,,,58.34,,,,,60604.36,15.00,70.87,15579,73630.13,IPCC,5.23,16.69,6.77,1892,14.13,14680.3,4.30,1201.5,,,12.01,3355.8349,41.66,43285.05,,
9575,Villanuova sul Clisi,Italy,2007,1.22,15.19,69.95,0.94,12.70,304.49569,3789.53223,17455.4595,233.81064,3169.28045,2007,1.27,11.03,75.70,0.45,11.55,1372.9,11916.96,81786.52,484.08,12481.47,11.10,83.63,11991.47,90355.99,IPCC,4.55,18.66,,,5.27,5694.46,,,,,-0.00,-1.0322764865123E-13,,,,
9576,Villaperuccio,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9577,Villaputzu,Italy,2007,1.86,24.45,21.79,1.56,28.83,365.70369,4816.3005,4293.34764,307.75311,5679.2518005,2007,1.88,20.98,18.70,1.05,36.24,1137.232,12689.82,11311.962,637.172,21918.4125,28.25,71.75,17083.94,43400.1755,IPCC,3.95,12.13,,,,,21.52,4240.106798,21.15,12789.511,-0.00,-7.8580342233181E-13,,,,
9578,Villar Focchiardo,Italy,2008,0.16,13.73,51.48,0.59,22.27,9.429,787.744,2954.395,34.124,1278.161,2008,0.09,10.51,59.19,0.31,20.38,21,2538,14295,76,4923,15.88,71.86,3835,17356,IPCC,2.81,11.82,,,12.26,2961,11.76,674.922,9.52,2299,,,,,,
9579,Villar San Costanzo,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9580,Villar de Rena,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9581,Villarbasse,Italy,2000,1.24,7.01,61.86,1.71,28.17,150.417,848.99,7489.951,207.207,3410.788,2000,1.19,5.94,68.23,0.77,23.87,657,3286,37767,429,13216,7.94,77.91,4393,43129,IPCC,4.29,19.60,,,14.15,7833,,,,,,,,,,
9582,Villardompardo,Spain,2007,,,,,66.21,,,,,4143.0872,2007,0.58,1.98,6.37,,55.90,166,568,1825,,16012.35,9.77,66.92,2798,19170.32,IPCC,5.44,24.89,,,23.31,6677.2,,,0.83,239,33.79,2114.1647,34.33,9835.16,,
9583,Villaricca,Italy,2010,0.73,20.88,40.39,0.47,28.25,440.34139,12523.64353,24226.9461,281.0577,16942.222,2010,0.67,15.99,42.78,0.28,31.44,1401.8,33695,90128.4,581.9,66236.9,27.61,64.40,58163.4,135675.37,IPCC,2.00,7.03,,,7.99,16823.5,8.77,5259.1411,8.34,17561.3,0.50,302.59972,0.50,1056.7,,
9584,Villarosa,Italy,2011,0.76,8.61,49.43,3.91,12.48,96.919,1093.051,6273.29,496.041,1584.308,2011,0.70,6.68,63.24,2.55,15.27,281,2686,25439,1027,6144,32.08,61.42,12904,24706,IPCC,2.41,7.65,7.49,950,6.50,2615,17.31,2196.371,11.56,4648,,,,,,
9585,Villarrasa,Spain,2007,3.39,14.76,30.85,1.75,47.52,307.17,1335.33,2791.4562,158.76,4300.0468,2007,2.49,9.58,25.93,1.09,50.20,802.2,3087,8356.06,352.801,16173.98,20.72,70.44,6677,22695.02,IPCC,4.33,14.04,,,8.84,2849.13,0.29,26.55,0.18,59,1.43,129.8352,10.52,3390.109,,
9586,Villarrodrigo,Spain,2007,2.45,3.40,9.70,,48.07,80.1,111.15,317.7,,1573.4598,2007,0.79,1.10,3.13,,27.02,178,247,706,,6084.51,5.35,43.89,1206,9883.65,IPCC,6.37,43.82,2.91,95.42,50.76,11431.57,1.03,33.75,0.33,75,32.44,1062.02523,67.63,15230.72,,
9587,Villarroya del Campo,Spain,2010,3.64,70.79,,6.43,19.14,9.2312,179.47674,,16.3108,48.52344,2010,2.47,71.30,,4.37,21.86,20.98,604.68,,37.07,185.36,35.58,61.78,301.74,523.98,IPCC,3.05,10.22,,,2.64,22.37,,,,,,,,,,
9588,Villasanta,Italy,2010,1.42,20.07,61.50,1.04,15.96,773.28978,10956.74183,33570.98699,568.60107,8713.44585,2010,1.70,15.78,66.22,0.57,15.73,3730.64,34526.97,144887.21,1255.19,34412.33,15.46,83.42,33837.33,182542.42,IPCC,4.01,16.03,,,1.11,2432.59,,,,,0.00,6.0708771343342E-14,0.00,1.3E-28,,
9589,Villasimius,Italy,2007,5.27,36.28,29.68,1.76,23.05,1304.71227,8990.1882,7353.44144,436.1238,5711.68185,2007,3.35,22.43,35.79,2.45,34.89,2131.42,14270.14,22773.25,1560.52,22202.77,43.27,45.89,27534.24,29201.9,IPCC,7.47,17.09,,,10.83,6894.22,3.97,983.1276,1.09,692.26,0.00,2.2919266484678E-12,,,,
9590,Villatorres,Spain,2007,1.01,23.71,12.97,,42.74,266.85,6264.9,3426.3,,11292.6977,2007,0.58,13.68,7.48,,42.86,593,13922,7614,,43635.34,23.90,55.10,24329,56092.01,IPCC,5.97,22.99,3.19,843,21.00,21382.99,3.75,990,2.16,2200,12.64,3340.45619,33.24,33839.66,,
9591,Villatuerta ,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9592,Villava/Atarrabia,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593,Villavallelonga,Italy,2005,2.37,15.41,56.00,4.16,22.06,60.9816,395.7989,1438.6351,106.9845,566.8734,2005,1.77,10.90,63.46,2.21,21.65,177.2,1091.5,6355.6,221.5,2168.6,19.00,73.02,1903,7312.1,IPCC,2.67,10.42,,,7.98,799.1,,,,,-0.00,-0.096600000000024,-0.00,-2.3E-13,,
9594,Villaverde de Íscar,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595,Villaverde del Río,Spain,2007,2.75,12.93,18.13,,49.96,787.5,3707.55,5195.7,,14321.429,2007,,,,,59.73,,,,,55385.21,24.58,73.82,22791,68456.57,IPCC,4.07,12.95,2.63,755,1.60,1482.97,1.97,565.2,,,11.62,3331.7049,40.27,37345.32,,
9596,Villaviciosa de Odon,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9597,Ville d'Enghien,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
9598,Ville de La Rochelle,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
