,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
,,,,,,Water Utilities,France,,Company,Suez Environnement,,Responsible corporate engagement in climate policy,,/company/suez-environnement,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Consumer Durables, Household and Personal Products",Brazil,,Company,Natura,,Responsible corporate engagement in climate policy,,/company/natura,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Chemicals,Netherlands,,Company,Royal DSM,,Responsible corporate engagement in climate policy,,/company/royal-dsm,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Construction Materials,Switzerland,,Company,LafargeHolcim Ltd,,Responsible corporate engagement in climate policy,,/company/lafargeholcim-ltd,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Retailing,Sweden,,Company,H&M; Hennes & Mauritz AB,,Responsible corporate engagement in climate policy,,/company/hm-hennes-mauritz-ab,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Trading Companies, Distributors, Commercial Services and Supplies",Singapore,,Company,Sindicatum,,Responsible corporate engagement in climate policy,,/company/sindicatum,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Mining - Iron, Aluminum, Other Metals",Taiwan Province of China,,Company,China Steel Corporation,,Responsible corporate engagement in climate policy,,/company/china-steel-corporation,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Semiconductors and Semiconductors Equipment,Taiwan Province of China,,Company,United Microelectronics,,Responsible corporate engagement in climate policy,,/company/united-microelectronics,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,United Kingdom of Great Britain and Northern Ireland,,Investor,Land Securities,,Responsible corporate engagement in climate policy,,/company/land-securities,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Electric Utilities, Independent Power Producers, and Energy Traders",Australia,,Company,AGL Energy,,Responsible corporate engagement in climate policy,,/company/agl-energy,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
