id,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
87,1.0,,,,1.0,,Australia,,City,Adelaide,100,"Reduce CO2e emissions from municipal stationary energy, transport, and waste by 100% by 2020",2020.0,/city/adelaide/australia,,,,,,,,,,,,,,,,,
88,,,1.0,,1.0,,Australia,,City,Adelaide,,Supply 50% of city-wide electricity demand with renewable sources by 2025,2025.0,/city/adelaide/australia,,,,,,,,,,,,,,,,,
89,1.0,1.0,,2008.0,1.0,"Textiles, Apparel, Footwear, and Luxury Goods",Germany,,Company,adidas AG,30,"Reduce operational CO2e emissions intensity of major office, production, and distribution sites by 30% per square meter from 2008 to 2015 through increased energy efficiency and building retrofits",2015.0,/company/adidas-ag,,1.0,,,,,,,,,,,,,,,
90,1.0,1.0,,2010.0,1.0,"Textiles, Apparel, Footwear, and Luxury Goods",Germany,,Company,adidas AG,21,"Reduce operational CO2e emissions intensity of recently added office, production, and distribution sites by 21% per square meter from 2010 to 2015 through increased energy efficiency and building retrofits",2015.0,/company/adidas-ag,,1.0,,,,,,,,,,,,,,,
91,,,,,1.0,Oil and Gas,United Kingdom of Great Britain and Northern Ireland,,Company,ADLER & ALLAN,,Use an internal carbon price,,/company/adler-allan,1.0,,,,,,,,,,,,,,,,
92,,,,,1.0,Automobiles and Components,Italy,,Company,ADLER PLASTIC SPA,,Set an internal carbon price by 2017,2017.0,/company/adler-plastic-spa,1.0,,,,,,,,,,,,,,,,
93,1.0,,,,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",80,Reduce emissions in transportation and product logistics by 80% by 2016 by transitioning to digital distribution of products,2016.0,"/company/adobe-systems,-inc-",,,,,,,,,,,1.0,,,,,,
94,1.0,1.0,1.0,,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",,"Attain carbon neutrality by 2015 in North American facilitates through energy efficiency, renewable energy procurement and offsets ",2015.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
95,,,1.0,,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",,Acquire 100% of total energy consumption from renewable sources by 2035,2035.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
96,,,1.0,,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",,Produce 10% of electricity at San Jose headquarters from renewable sources by 2020 from 6% in 2010,2020.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
97,1.0,,,2012.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",20,"Reduce operational CO2e emissions, energy, water, and waste for their large California facilities by 20% from 2012 to 2015 through energy efficient building retrofits, increased waste diversion to landfills, and low-carbon energy purchases",2015.0,"/company/adobe-systems,-inc-",,1.0,,,,,,,,,,1.0,,,,,
98,1.0,,,2013.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",10,Reduce CO2e emissions from employee business travel by 10% from 2013 to 2016,2016.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
99,1.0,,,2015.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",3,Reduce direct CO2e emissions from natural gas at select owned and managed sites by 3% from 2015 to 2016 ,2016.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
100,1.0,,,2015.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",,"Reduce direct CO2e emissions from purchased electricity in select owned and managed sites, excluding data centers, by 3.8% from 2015 to 2016 ",2016.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
