"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","X","file_iso","name","continent"
"77",77,0.0297060847885095,0.01352978956713,0.255203697997604,0.31510672282968,0.000645027258131345,0.342634883009136,0.04317379454981,77,"MEX","Mexico","Americas"
"78",78,0.627603222153988,0.0779910021692791,0.0186343054569977,0.0357176014195764,0.205643326426573,0.0102840059779446,0.0241265363956412,78,"MHL","Marshall Islands","Oceania"
"79",79,0.351898495640926,0.412406806107975,0.0612330853467795,0.122875096612175,0.00162444523022241,0.0448922844102634,0.00506978665165864,79,"MKD","North Macedonia","Europe"
"80",80,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,80,"MLT","Malta","Europe"
"81",81,0.322664204617255,0.278659351527448,0.000958731225408928,0.000269459484392782,0.393702719892855,0.000928618631948379,0.00281691462069118,81,"MMR","Myanmar (Burma)","Asia"
"82",82,0.358102435589281,0.0822009045685888,0.377999209484334,0.117532856627647,0.00310134779746188,0.0409465222732618,0.0201167236594258,82,"MNE","Montenegro","Europe"
"83",83,0.956561086955129,0.00238467749532099,0.0326701336101189,0.00077681641366574,0.00162045710387787,0.00205419093374348,0.00393263748814381,83,"MNG","Mongolia","Asia"
"84",84,0.00373350606406049,0.809617123410693,0.00153922407040533,0.0503699698475169,0.0759661284470943,0.00042703496666304,0.0583470131935665,84,"MUS","Mauritius","Africa"
"85",85,0.000189612624226042,0.000118063510687717,2.65967030788452e-05,7.54734754202012e-07,0.99952970335357,6.5967293509185e-06,0.00012867234433187,85,"MWI","Malawi","Africa"
"86",86,0.188657524967323,0.00833339482704497,0.169098136933881,0.446623947773704,0.00291137313472945,0.00364294649207482,0.180732675871243,86,"MYS","Malaysia","Asia"
"87",87,0.0011110943827691,0.99664909222227,0.000471099214301179,0.000377678511082543,0.000260081901943822,0.000474956872131529,0.000655996895501438,87,"NAM","Namibia","Africa"
"88",88,0.118049390483886,0.00653544815614375,0.303822959612326,0.000939222112878331,0.00850947268330627,0.560022324446085,0.00212118250537458,88,"NIC","Nicaragua","Americas"
