,ID,URL,country,latitude,longitude,name,population,commitment_phase,inventory_phase,target_phase,plan_phase,action_plan_url,adaptation_plan_url,building_sector_emissions,transportation_sector_emissions,waste_sector_emissions,industrial_sector_emissions,other_sector_emissions
89,1944,https://www.globalcovenantofmayors.org/cities/lisbon/,Portugal,38.7077926,-9.136506,Lisbon,552700,True,True,True,True,,,,,,,
90,1952,https://www.globalcovenantofmayors.org/cities/campinas/,Brazil,-22.9055599,-47.0608299,Campinas,1140133,True,True,True,True,,,,,,,
91,1954,https://www.globalcovenantofmayors.org/cities/birmingham-al/,United States,33.570499,-86.7657829,"Birmingham, AL",212113,True,True,True,True,,,,,,,
92,1962,https://www.globalcovenantofmayors.org/cities/bologna/,Italy,44.4936714,11.3430347,Bologna,386181,True,True,True,True,,,,,,,
93,1964,https://www.globalcovenantofmayors.org/cities/tbilisi/,Georgia,41.6935247,44.8015019,Tbilisi,1113000,True,True,True,True,,,,,,,
94,1966,https://www.globalcovenantofmayors.org/cities/rijeka/,Croatia,45.3269357,14.4409841,Rijeka,128384,False,False,False,False,,,,,,,
95,1968,https://www.globalcovenantofmayors.org/cities/tainan/,Chinese Taipei,22.9912479,120.1848844,Tainan,1885287,False,False,False,False,https://www.globalcovenantofmayors.org/wp-content/uploads/2015/08/2016-Tainan-Climate-action.pdf,,75.63,11.24,2.69,9.4,1.04
96,2016,https://www.globalcovenantofmayors.org/cities/bridgeport/,United States,41.1670412,-73.2048347,Bridgeport,147612,True,True,True,True,http://www.globalcovenantofmayors.org/wp-content/uploads/2015/08/Bridgport-BGreen-2020.pdf,http://www.globalcovenantofmayors.org/wp-content/uploads/2015/08/Bridgport-BGreen-2020.pdf,,,,,
97,2020,https://www.globalcovenantofmayors.org/cities/chicago/,United States,41.8755546,-87.6244211,Chicago,2720546,True,True,True,True,https://www.cityofchicago.org/content/dam/city/progs/env/SustainableChicago2015.pdf,https://www.cityofchicago.org/content/dam/city/progs/env/SustainableChicago2015.pdf,70.22,26.22,3.56,,
98,2022,https://www.globalcovenantofmayors.org/cities/camuy/,Puerto Rico,18.4177103,-66.86237628,Camuy,33664,True,True,True,True,,,,,,,
99,2068,https://www.globalcovenantofmayors.org/cities/natal/,Brazil,-5.8053979,-35.2080904,Natal,862044,True,True,True,True,,,,,,,
100,2072,https://www.globalcovenantofmayors.org/cities/oakland/,United States,37.8044557,-122.2713562,Oakland,413775,True,True,True,True,http://www.globalcovenantofmayors.org/wp-content/uploads2015/08/Oakland-action-plan.pdf,http://www.globalcovenantofmayors.org/wp-content/uploads2015/08/Oakland-adaptation-plan.pdf,38.7,58.5,2.9,,
101,2088,https://www.globalcovenantofmayors.org/cities/subotica/,Serbia,46.1000129,19.6640974,Subotica,150000,True,True,True,True,,,,,,,
102,2092,https://www.globalcovenantofmayors.org/cities/sofia/,Bulgaria,42.6977211,23.3225964,Sofia,1319804,True,True,True,True,,,78.2,17.4,4.4,,
103,2094,https://www.globalcovenantofmayors.org/cities/pecs/,Hungary,46.0762962,18.228147,Pécs,146581,True,True,True,True,,,,,,,
104,2096,https://www.globalcovenantofmayors.org/cities/tirgu-mures/,Romania,46.5446244,24.5611947,TÎrgu Mureș,134290,False,False,False,False,,,,,,,
105,2102,https://www.globalcovenantofmayors.org/cities/arendal/,Norway,58.42755945,8.944466804,Arendal,44333,True,True,True,True,,,,,,,
106,2104,https://www.globalcovenantofmayors.org/cities/edmonton/,Canada,53.5343609,-113.5065084,Edmonton,877926,True,True,True,True,https://www.globalcovenantofmayors.org/wp-content/uploads/2015/09/22877-Way-We-Green-Report-2010.pdf,,65.3,30.5,0.7,4.1,-0.5
107,2130,https://www.globalcovenantofmayors.org/cities/magdeburg/,Germany,52.1315889,11.6399609,Magdeburg,230000,True,True,True,True,,,,,,,
108,2134,https://www.globalcovenantofmayors.org/cities/athens/,Greece,37.9841493,23.7279843,Athens,664046,True,True,True,True,https://resilientathens.wordpress.com/athens-resilience-strategy-framework/athens-climate-action-plan/,,72.77,20.75,,,
109,2136,https://www.globalcovenantofmayors.org/cities/manchester/,United Kingdom,53.4791301,-2.2441008,Manchester,2762000,True,True,True,True,https://www.greatermanchester-ca.gov.uk/download/downloads/id/221/change_and_low_emissions_implementation_plan_2016-2020.pdf,,72.3,24.7,0.6,0.1,2.4
110,2138,https://www.globalcovenantofmayors.org/cities/palm-springs/,United States,33.8246269,-116.5403029,Palm Springs,46854,True,True,True,True,,,,,,,
111,2140,https://www.globalcovenantofmayors.org/cities/perth/,Australia,-31.952712,115.8604796,Perth,19043,True,True,True,True,,,82.77,14.93,2.39,,
