name,entity_type,constituency,coordinator,city,country
Brown University - Watson Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Deborah Gordon,Providence RI,United States of America
Buddhist Tzu Chi Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Debra Boudreaux,San Dimas,United States of America
Business and Industry Advisory Committee to the OECD,Non-governmental organizations,Constituency - Business and Industry,Mr. Dominik Kummerle,Paris,France
Business Council for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Lisa Jacobson,Washington,United States of America
Business for Social Responsibility,Non-governmental organizations,Constituency - Business and Industry,Mr. David Da-Fan Wei,San Francisco,United States of America
Business Unity South Africa,Non-governmental organizations,Constituency - Business and Industry,Ms. Corinna Gardner,Johannesburg,South Africa
BusinessEurope,Non-governmental organizations,Constituency - Business and Industry,Ms. Jessica Britte,Brussels,Belgium
Busworld Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. Jan Deman,Roeselare,Belgium
C Team,Non-governmental organizations,Constituency - Business and Industry,Mr. Qi Gao,Bejing,China
C40 Cities Climate,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Agathe Cavicchioli,New York,United States of America
Leadership Group,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Agathe Cavicchioli,New York,United States of America
"Ca’ Foscari University, Venice",Non-governmental organizations,,,,
"Cámara Oficial de Comercio, Industria, Servicios y Navegación de España",Non-governmental organizations,Constituency - Business and Industry,Mr. Andres Pereda,MADRID,Spain
CambiaMO s.coop.mad.,Non-governmental organizations,,,,
CAMFED,Non-governmental organizations,Constituency - Women and Gender,Ms. Catherine Boyce,Cambridge,United Kingdom of Great Britain and Northern Ireland
Campaign for a Hydrogen Economy,Non-governmental organizations,Constituency - Environmental,Mr. Michael Koefman,Manchester,United Kingdom of Great Britain and Northern Ireland
Canadian Association of Petroleum Producers,Non-governmental organizations,Constituency - Business and Industry,Mr. Cole Schulz,Calgary,Canada
Canadian Electricity Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Channa Perera,Ottawa,Canada
Canadian Federation of Agriculture,Non-governmental organizations,Constituency - Farmers,Mr. Greg Warren Northey,Ottawa,Canada
Canadian Foodgrains Bank Association Inc.,Non-governmental organizations,Constituency - Farmers,Ms. Adella Mueni Mutinda,Winnipeg,Canada
Canadian Hydrogen and Fuel Cell Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Nicolas Hilario,Vancouver,Canada
Canadian Nuclear Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Jessica Clifford,Ottawa,Canada
Canterbury Climate Action Partnership,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Carl Wright,Hoath-Canterbury,United Kingdom of Great Britain and Northern Ireland
Carbon Capture and Storage Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Judith Shapiro-Kønigshøfer,London,United Kingdom of Great Britain and Northern Ireland
Carbon Emission (Greenhouse Gas) Reduction and Control Association,Non-governmental organizations,Constituency - Environmental,Mr. Ali Özcem Kilic,Istanbul,Turkey
Carbon Market Institute Limited,Non-governmental organizations,Constituency - Business and Industry,Mr. Bradley Kerin,Melbourne,Australia
Carbon Market Watch,Non-governmental organizations,Constituency - Environmental CAN,Ms. Sabine Frank,Brussels,Belgium
